name	description	page
cfamiliaris_homolog_chromosome	Dog chromosome/scaffold name	homologs
cfamiliaris_homolog_chrom_start	Dog chromosome/scaffold start (bp)	homologs
cfamiliaris_homolog_chrom_end	Dog chromosome/scaffold end (bp)	homologs
cfamiliaris_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
cfamiliaris_homolog_subtype	Last common ancestor with Dog	homologs
cfamiliaris_homolog_orthology_type	Dog homology type	homologs
cfamiliaris_homolog_perc_id	%id. target Dog gene identical to query gene	homologs
cfamiliaris_homolog_perc_id_r1	%id. query gene identical to target Dog gene	homologs
cfamiliaris_homolog_goc_score	Dog Gene-order conservation score	homologs
cfamiliaris_homolog_wga_coverage	Dog Whole-genome alignment coverage	homologs
cfamiliaris_homolog_dn	dN with Dog	homologs
cfamiliaris_homolog_ds	dS with Dog	homologs
cfamiliaris_homolog_orthology_confidence	Dog orthology confidence [0 low, 1 high]	homologs
ttruncatus_homolog_ensembl_gene	Dolphin gene stable ID	homologs
ttruncatus_homolog_associated_gene_name	Dolphin gene name	homologs
ttruncatus_homolog_ensembl_peptide	Dolphin protein or transcript stable ID	homologs
ttruncatus_homolog_chromosome	Dolphin chromosome/scaffold name	homologs
ttruncatus_homolog_chrom_start	Dolphin chromosome/scaffold start (bp)	homologs
ttruncatus_homolog_chrom_end	Dolphin chromosome/scaffold end (bp)	homologs
ttruncatus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
ttruncatus_homolog_subtype	Last common ancestor with Dolphin	homologs
ttruncatus_homolog_orthology_type	Dolphin homology type	homologs
ttruncatus_homolog_perc_id	%id. target Dolphin gene identical to query gene	homologs
ttruncatus_homolog_perc_id_r1	%id. query gene identical to target Dolphin gene	homologs
ttruncatus_homolog_goc_score	Dolphin Gene-order conservation score	homologs
ttruncatus_homolog_wga_coverage	Dolphin Whole-genome alignment coverage	homologs
ttruncatus_homolog_dn	dN with Dolphin	homologs
ttruncatus_homolog_ds	dS with Dolphin	homologs
ttruncatus_homolog_orthology_confidence	Dolphin orthology confidence [0 low, 1 high]	homologs
aplatyrhynchos_homolog_ensembl_gene	Duck gene stable ID	homologs
aplatyrhynchos_homolog_associated_gene_name	Duck gene name	homologs
aplatyrhynchos_homolog_ensembl_peptide	Duck protein or transcript stable ID	homologs
aplatyrhynchos_homolog_chromosome	Duck chromosome/scaffold name	homologs
aplatyrhynchos_homolog_chrom_start	Duck chromosome/scaffold start (bp)	homologs
aplatyrhynchos_homolog_chrom_end	Duck chromosome/scaffold end (bp)	homologs
aplatyrhynchos_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
aplatyrhynchos_homolog_subtype	Last common ancestor with Duck	homologs
aplatyrhynchos_homolog_orthology_type	Duck homology type	homologs
aplatyrhynchos_homolog_perc_id	%id. target Duck gene identical to query gene	homologs
aplatyrhynchos_homolog_perc_id_r1	%id. query gene identical to target Duck gene	homologs
aplatyrhynchos_homolog_goc_score	Duck Gene-order conservation score	homologs
aplatyrhynchos_homolog_wga_coverage	Duck Whole-genome alignment coverage	homologs
aplatyrhynchos_homolog_dn	dN with Duck	homologs
aplatyrhynchos_homolog_ds	dS with Duck	homologs
aplatyrhynchos_homolog_orthology_confidence	Duck orthology confidence [0 low, 1 high]	homologs
lafricana_homolog_ensembl_gene	Elephant gene stable ID	homologs
lafricana_homolog_associated_gene_name	Elephant gene name	homologs
lafricana_homolog_ensembl_peptide	Elephant protein or transcript stable ID	homologs
lafricana_homolog_chromosome	Elephant chromosome/scaffold name	homologs
lafricana_homolog_chrom_start	Elephant chromosome/scaffold start (bp)	homologs
lafricana_homolog_chrom_end	Elephant chromosome/scaffold end (bp)	homologs
lafricana_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
lafricana_homolog_subtype	Last common ancestor with Elephant	homologs
lafricana_homolog_orthology_type	Elephant homology type	homologs
lafricana_homolog_perc_id	%id. target Elephant gene identical to query gene	homologs
lafricana_homolog_perc_id_r1	%id. query gene identical to target Elephant gene	homologs
lafricana_homolog_goc_score	Elephant Gene-order conservation score	homologs
lafricana_homolog_wga_coverage	Elephant Whole-genome alignment coverage	homologs
lafricana_homolog_dn	dN with Elephant	homologs
lafricana_homolog_ds	dS with Elephant	homologs
lafricana_homolog_orthology_confidence	Elephant orthology confidence [0 low, 1 high]	homologs
mfuro_homolog_ensembl_gene	Ferret gene stable ID	homologs
mfuro_homolog_associated_gene_name	Ferret gene name	homologs
mfuro_homolog_ensembl_peptide	Ferret protein or transcript stable ID	homologs
mfuro_homolog_chromosome	Ferret chromosome/scaffold name	homologs
mfuro_homolog_chrom_start	Ferret chromosome/scaffold start (bp)	homologs
mfuro_homolog_chrom_end	Ferret chromosome/scaffold end (bp)	homologs
mfuro_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
mfuro_homolog_subtype	Last common ancestor with Ferret	homologs
mfuro_homolog_orthology_type	Ferret homology type	homologs
mfuro_homolog_perc_id	%id. target Ferret gene identical to query gene	homologs
mfuro_homolog_perc_id_r1	%id. query gene identical to target Ferret gene	homologs
mfuro_homolog_goc_score	Ferret Gene-order conservation score	homologs
mfuro_homolog_wga_coverage	Ferret Whole-genome alignment coverage	homologs
mfuro_homolog_dn	dN with Ferret	homologs
mfuro_homolog_ds	dS with Ferret	homologs
mfuro_homolog_orthology_confidence	Ferret orthology confidence [0 low, 1 high]	homologs
falbicollis_homolog_ensembl_gene	Flycatcher gene stable ID	homologs
falbicollis_homolog_associated_gene_name	Flycatcher gene name	homologs
falbicollis_homolog_ensembl_peptide	Flycatcher protein or transcript stable ID	homologs
falbicollis_homolog_chromosome	Flycatcher chromosome/scaffold name	homologs
falbicollis_homolog_chrom_start	Flycatcher chromosome/scaffold start (bp)	homologs
falbicollis_homolog_chrom_end	Flycatcher chromosome/scaffold end (bp)	homologs
falbicollis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
falbicollis_homolog_subtype	Last common ancestor with Flycatcher	homologs
falbicollis_homolog_orthology_type	Flycatcher homology type	homologs
falbicollis_homolog_perc_id	%id. target Flycatcher gene identical to query gene	homologs
falbicollis_homolog_perc_id_r1	%id. query gene identical to target Flycatcher gene	homologs
falbicollis_homolog_goc_score	Flycatcher Gene-order conservation score	homologs
falbicollis_homolog_wga_coverage	Flycatcher Whole-genome alignment coverage	homologs
falbicollis_homolog_dn	dN with Flycatcher	homologs
falbicollis_homolog_ds	dS with Flycatcher	homologs
falbicollis_homolog_orthology_confidence	Flycatcher orthology confidence [0 low, 1 high]	homologs
dmelanogaster_homolog_ensembl_gene	Fruitfly gene stable ID	homologs
dmelanogaster_homolog_associated_gene_name	Fruitfly gene name	homologs
dmelanogaster_homolog_ensembl_peptide	Fruitfly protein or transcript stable ID	homologs
dmelanogaster_homolog_chromosome	Fruitfly chromosome/scaffold name	homologs
dmelanogaster_homolog_chrom_start	Fruitfly chromosome/scaffold start (bp)	homologs
dmelanogaster_homolog_chrom_end	Fruitfly chromosome/scaffold end (bp)	homologs
dmelanogaster_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
dmelanogaster_homolog_subtype	Last common ancestor with Fruitfly	homologs
dmelanogaster_homolog_orthology_type	Fruitfly homology type	homologs
dmelanogaster_homolog_perc_id	%id. target Fruitfly gene identical to query gene	homologs
dmelanogaster_homolog_perc_id_r1	%id. query gene identical to target Fruitfly gene	homologs
dmelanogaster_homolog_goc_score	Fruitfly Gene-order conservation score	homologs
dmelanogaster_homolog_wga_coverage	Fruitfly Whole-genome alignment coverage	homologs
dmelanogaster_homolog_dn	dN with Fruitfly	homologs
dmelanogaster_homolog_ds	dS with Fruitfly	homologs
dmelanogaster_homolog_orthology_confidence	Fruitfly orthology confidence [0 low, 1 high]	homologs
trubripes_homolog_ensembl_gene	Fugu gene stable ID	homologs
trubripes_homolog_associated_gene_name	Fugu gene name	homologs
trubripes_homolog_ensembl_peptide	Fugu protein or transcript stable ID	homologs
trubripes_homolog_chromosome	Fugu chromosome/scaffold name	homologs
trubripes_homolog_chrom_start	Fugu chromosome/scaffold start (bp)	homologs
trubripes_homolog_chrom_end	Fugu chromosome/scaffold end (bp)	homologs
trubripes_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
trubripes_homolog_subtype	Last common ancestor with Fugu	homologs
trubripes_homolog_orthology_type	Fugu homology type	homologs
trubripes_homolog_perc_id	%id. target Fugu gene identical to query gene	homologs
trubripes_homolog_perc_id_r1	%id. query gene identical to target Fugu gene	homologs
trubripes_homolog_goc_score	Fugu Gene-order conservation score	homologs
trubripes_homolog_wga_coverage	Fugu Whole-genome alignment coverage	homologs
trubripes_homolog_dn	dN with Fugu	homologs
trubripes_homolog_ds	dS with Fugu	homologs
trubripes_homolog_orthology_confidence	Fugu orthology confidence [0 low, 1 high]	homologs
nleucogenys_homolog_ensembl_gene	Gibbon gene stable ID	homologs
nleucogenys_homolog_associated_gene_name	Gibbon gene name	homologs
nleucogenys_homolog_ensembl_peptide	Gibbon protein or transcript stable ID	homologs
nleucogenys_homolog_chromosome	Gibbon chromosome/scaffold name	homologs
nleucogenys_homolog_chrom_start	Gibbon chromosome/scaffold start (bp)	homologs
nleucogenys_homolog_chrom_end	Gibbon chromosome/scaffold end (bp)	homologs
nleucogenys_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
nleucogenys_homolog_subtype	Last common ancestor with Gibbon	homologs
nleucogenys_homolog_orthology_type	Gibbon homology type	homologs
nleucogenys_homolog_perc_id	%id. target Gibbon gene identical to query gene	homologs
nleucogenys_homolog_perc_id_r1	%id. query gene identical to target Gibbon gene	homologs
nleucogenys_homolog_goc_score	Gibbon Gene-order conservation score	homologs
nleucogenys_homolog_wga_coverage	Gibbon Whole-genome alignment coverage	homologs
nleucogenys_homolog_dn	dN with Gibbon	homologs
nleucogenys_homolog_ds	dS with Gibbon	homologs
nleucogenys_homolog_orthology_confidence	Gibbon orthology confidence [0 low, 1 high]	homologs
ggorilla_homolog_ensembl_gene	Gorilla gene stable ID	homologs
ggorilla_homolog_associated_gene_name	Gorilla gene name	homologs
ggorilla_homolog_ensembl_peptide	Gorilla protein or transcript stable ID	homologs
ggorilla_homolog_chromosome	Gorilla chromosome/scaffold name	homologs
ggorilla_homolog_chrom_start	Gorilla chromosome/scaffold start (bp)	homologs
ggorilla_homolog_chrom_end	Gorilla chromosome/scaffold end (bp)	homologs
ggorilla_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
ggorilla_homolog_subtype	Last common ancestor with Gorilla	homologs
ggorilla_homolog_orthology_type	Gorilla homology type	homologs
ggorilla_homolog_perc_id	%id. target Gorilla gene identical to query gene	homologs
ggorilla_homolog_perc_id_r1	%id. query gene identical to target Gorilla gene	homologs
ggorilla_homolog_goc_score	Gorilla Gene-order conservation score	homologs
ggorilla_homolog_wga_coverage	Gorilla Whole-genome alignment coverage	homologs
ggorilla_homolog_dn	dN with Gorilla	homologs
ggorilla_homolog_ds	dS with Gorilla	homologs
ggorilla_homolog_orthology_confidence	Gorilla orthology confidence [0 low, 1 high]	homologs
cporcellus_homolog_ensembl_gene	Guinea Pig gene stable ID	homologs
cporcellus_homolog_associated_gene_name	Guinea Pig gene name	homologs
cporcellus_homolog_ensembl_peptide	Guinea Pig protein or transcript stable ID	homologs
cporcellus_homolog_chromosome	Guinea Pig chromosome/scaffold name	homologs
cporcellus_homolog_chrom_start	Guinea Pig chromosome/scaffold start (bp)	homologs
cporcellus_homolog_chrom_end	Guinea Pig chromosome/scaffold end (bp)	homologs
cporcellus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
cporcellus_homolog_subtype	Last common ancestor with Guinea Pig	homologs
cporcellus_homolog_orthology_type	Guinea Pig homology type	homologs
cporcellus_homolog_perc_id	%id. target Guinea Pig gene identical to query gene	homologs
cporcellus_homolog_perc_id_r1	%id. query gene identical to target Guinea Pig gene	homologs
cporcellus_homolog_goc_score	Guinea Pig Gene-order conservation score	homologs
cporcellus_homolog_wga_coverage	Guinea Pig Whole-genome alignment coverage	homologs
cporcellus_homolog_dn	dN with Guinea Pig	homologs
cporcellus_homolog_ds	dS with Guinea Pig	homologs
cporcellus_homolog_orthology_confidence	Guinea Pig orthology confidence [0 low, 1 high]	homologs
eeuropaeus_homolog_ensembl_gene	Hedgehog gene stable ID	homologs
eeuropaeus_homolog_associated_gene_name	Hedgehog gene name	homologs
eeuropaeus_homolog_ensembl_peptide	Hedgehog protein or transcript stable ID	homologs
eeuropaeus_homolog_chromosome	Hedgehog chromosome/scaffold name	homologs
eeuropaeus_homolog_chrom_start	Hedgehog chromosome/scaffold start (bp)	homologs
eeuropaeus_homolog_chrom_end	Hedgehog chromosome/scaffold end (bp)	homologs
eeuropaeus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
eeuropaeus_homolog_subtype	Last common ancestor with Hedgehog	homologs
eeuropaeus_homolog_orthology_type	Hedgehog homology type	homologs
eeuropaeus_homolog_perc_id	%id. target Hedgehog gene identical to query gene	homologs
eeuropaeus_homolog_perc_id_r1	%id. query gene identical to target Hedgehog gene	homologs
eeuropaeus_homolog_goc_score	Hedgehog Gene-order conservation score	homologs
eeuropaeus_homolog_wga_coverage	Hedgehog Whole-genome alignment coverage	homologs
eeuropaeus_homolog_dn	dN with Hedgehog	homologs
eeuropaeus_homolog_ds	dS with Hedgehog	homologs
eeuropaeus_homolog_orthology_confidence	Hedgehog orthology confidence [0 low, 1 high]	homologs
ecaballus_homolog_ensembl_gene	Horse gene stable ID	homologs
ecaballus_homolog_associated_gene_name	Horse gene name	homologs
ecaballus_homolog_ensembl_peptide	Horse protein or transcript stable ID	homologs
ecaballus_homolog_chromosome	Horse chromosome/scaffold name	homologs
ecaballus_homolog_chrom_start	Horse chromosome/scaffold start (bp)	homologs
ecaballus_homolog_chrom_end	Horse chromosome/scaffold end (bp)	homologs
ecaballus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
ecaballus_homolog_subtype	Last common ancestor with Horse	homologs
ecaballus_homolog_orthology_type	Horse homology type	homologs
ecaballus_homolog_perc_id	%id. target Horse gene identical to query gene	homologs
ecaballus_homolog_perc_id_r1	%id. query gene identical to target Horse gene	homologs
ecaballus_homolog_goc_score	Horse Gene-order conservation score	homologs
ecaballus_homolog_wga_coverage	Horse Whole-genome alignment coverage	homologs
ecaballus_homolog_dn	dN with Horse	homologs
ecaballus_homolog_ds	dS with Horse	homologs
ecaballus_homolog_orthology_confidence	Horse orthology confidence [0 low, 1 high]	homologs
pcapensis_homolog_ensembl_gene	Hyrax gene stable ID	homologs
pcapensis_homolog_associated_gene_name	Hyrax gene name	homologs
pcapensis_homolog_ensembl_peptide	Hyrax protein or transcript stable ID	homologs
pcapensis_homolog_chromosome	Hyrax chromosome/scaffold name	homologs
pcapensis_homolog_chrom_start	Hyrax chromosome/scaffold start (bp)	homologs
pcapensis_homolog_chrom_end	Hyrax chromosome/scaffold end (bp)	homologs
pcapensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
pcapensis_homolog_subtype	Last common ancestor with Hyrax	homologs
pcapensis_homolog_orthology_type	Hyrax homology type	homologs
pcapensis_homolog_perc_id	%id. target Hyrax gene identical to query gene	homologs
pcapensis_homolog_perc_id_r1	%id. query gene identical to target Hyrax gene	homologs
pcapensis_homolog_goc_score	Hyrax Gene-order conservation score	homologs
pcapensis_homolog_wga_coverage	Hyrax Whole-genome alignment coverage	homologs
pcapensis_homolog_dn	dN with Hyrax	homologs
pcapensis_homolog_ds	dS with Hyrax	homologs
pcapensis_homolog_orthology_confidence	Hyrax orthology confidence [0 low, 1 high]	homologs
dordii_homolog_ensembl_gene	Kangaroo rat gene stable ID	homologs
dordii_homolog_associated_gene_name	Kangaroo rat gene name	homologs
dordii_homolog_ensembl_peptide	Kangaroo rat protein or transcript stable ID	homologs
dordii_homolog_chromosome	Kangaroo rat chromosome/scaffold name	homologs
dordii_homolog_chrom_start	Kangaroo rat chromosome/scaffold start (bp)	homologs
dordii_homolog_chrom_end	Kangaroo rat chromosome/scaffold end (bp)	homologs
dordii_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
dordii_homolog_subtype	Last common ancestor with Kangaroo rat	homologs
dordii_homolog_orthology_type	Kangaroo rat homology type	homologs
dordii_homolog_perc_id	%id. target Kangaroo rat gene identical to query gene	homologs
dordii_homolog_perc_id_r1	%id. query gene identical to target Kangaroo rat gene	homologs
dordii_homolog_goc_score	Kangaroo rat Gene-order conservation score	homologs
dordii_homolog_wga_coverage	Kangaroo rat Whole-genome alignment coverage	homologs
dordii_homolog_dn	dN with Kangaroo rat	homologs
dordii_homolog_ds	dS with Kangaroo rat	homologs
dordii_homolog_orthology_confidence	Kangaroo rat orthology confidence [0 low, 1 high]	homologs
pmarinus_homolog_ensembl_gene	Lamprey gene stable ID	homologs
pmarinus_homolog_associated_gene_name	Lamprey gene name	homologs
pmarinus_homolog_ensembl_peptide	Lamprey protein or transcript stable ID	homologs
pmarinus_homolog_chromosome	Lamprey chromosome/scaffold name	homologs
pmarinus_homolog_chrom_start	Lamprey chromosome/scaffold start (bp)	homologs
pmarinus_homolog_chrom_end	Lamprey chromosome/scaffold end (bp)	homologs
pmarinus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
pmarinus_homolog_subtype	Last common ancestor with Lamprey	homologs
pmarinus_homolog_orthology_type	Lamprey homology type	homologs
pmarinus_homolog_perc_id	%id. target Lamprey gene identical to query gene	homologs
pmarinus_homolog_perc_id_r1	%id. query gene identical to target Lamprey gene	homologs
pmarinus_homolog_goc_score	Lamprey Gene-order conservation score	homologs
pmarinus_homolog_wga_coverage	Lamprey Whole-genome alignment coverage	homologs
pmarinus_homolog_dn	dN with Lamprey	homologs
pmarinus_homolog_ds	dS with Lamprey	homologs
pmarinus_homolog_orthology_confidence	Lamprey orthology confidence [0 low, 1 high]	homologs
etelfairi_homolog_ensembl_gene	Lesser hedgehog tenrec gene stable ID	homologs
etelfairi_homolog_associated_gene_name	Lesser hedgehog tenrec gene name	homologs
etelfairi_homolog_ensembl_peptide	Lesser hedgehog tenrec protein or transcript stable ID	homologs
etelfairi_homolog_chromosome	Lesser hedgehog tenrec chromosome/scaffold name	homologs
etelfairi_homolog_chrom_start	Lesser hedgehog tenrec chromosome/scaffold start (bp)	homologs
etelfairi_homolog_chrom_end	Lesser hedgehog tenrec chromosome/scaffold end (bp)	homologs
etelfairi_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
etelfairi_homolog_subtype	Last common ancestor with Lesser hedgehog tenrec	homologs
etelfairi_homolog_orthology_type	Lesser hedgehog tenrec homology type	homologs
etelfairi_homolog_perc_id	%id. target Lesser hedgehog tenrec gene identical to query gene	homologs
etelfairi_homolog_perc_id_r1	%id. query gene identical to target Lesser hedgehog tenrec gene	homologs
etelfairi_homolog_goc_score	Lesser hedgehog tenrec Gene-order conservation score	homologs
etelfairi_homolog_wga_coverage	Lesser hedgehog tenrec Whole-genome alignment coverage	homologs
etelfairi_homolog_dn	dN with Lesser hedgehog tenrec	homologs
etelfairi_homolog_ds	dS with Lesser hedgehog tenrec	homologs
etelfairi_homolog_orthology_confidence	Lesser hedgehog tenrec orthology confidence [0 low, 1 high]	homologs
mmulatta_homolog_ensembl_gene	Macaque gene stable ID	homologs
mmulatta_homolog_associated_gene_name	Macaque gene name	homologs
mmulatta_homolog_ensembl_peptide	Macaque protein or transcript stable ID	homologs
mmulatta_homolog_chromosome	Macaque chromosome/scaffold name	homologs
mmulatta_homolog_chrom_start	Macaque chromosome/scaffold start (bp)	homologs
mmulatta_homolog_chrom_end	Macaque chromosome/scaffold end (bp)	homologs
mmulatta_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
mmulatta_homolog_subtype	Last common ancestor with Macaque	homologs
mmulatta_homolog_orthology_type	Macaque homology type	homologs
mmulatta_homolog_perc_id	%id. target Macaque gene identical to query gene	homologs
mmulatta_homolog_perc_id_r1	%id. query gene identical to target Macaque gene	homologs
mmulatta_homolog_goc_score	Macaque Gene-order conservation score	homologs
mmulatta_homolog_wga_coverage	Macaque Whole-genome alignment coverage	homologs
mmulatta_homolog_dn	dN with Macaque	homologs
mmulatta_homolog_ds	dS with Macaque	homologs
mmulatta_homolog_orthology_confidence	Macaque orthology confidence [0 low, 1 high]	homologs
cjacchus_homolog_ensembl_gene	Marmoset gene stable ID	homologs
cjacchus_homolog_associated_gene_name	Marmoset gene name	homologs
cjacchus_homolog_ensembl_peptide	Marmoset protein or transcript stable ID	homologs
cjacchus_homolog_chromosome	Marmoset chromosome/scaffold name	homologs
cjacchus_homolog_chrom_start	Marmoset chromosome/scaffold start (bp)	homologs
cjacchus_homolog_chrom_end	Marmoset chromosome/scaffold end (bp)	homologs
cjacchus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
cjacchus_homolog_subtype	Last common ancestor with Marmoset	homologs
cjacchus_homolog_orthology_type	Marmoset homology type	homologs
cjacchus_homolog_perc_id	%id. target Marmoset gene identical to query gene	homologs
cjacchus_homolog_perc_id_r1	%id. query gene identical to target Marmoset gene	homologs
cjacchus_homolog_goc_score	Marmoset Gene-order conservation score	homologs
cjacchus_homolog_wga_coverage	Marmoset Whole-genome alignment coverage	homologs
cjacchus_homolog_dn	dN with Marmoset	homologs
cjacchus_homolog_ds	dS with Marmoset	homologs
cjacchus_homolog_orthology_confidence	Marmoset orthology confidence [0 low, 1 high]	homologs
olatipes_homolog_ensembl_gene	Medaka gene stable ID	homologs
olatipes_homolog_associated_gene_name	Medaka gene name	homologs
olatipes_homolog_ensembl_peptide	Medaka protein or transcript stable ID	homologs
olatipes_homolog_chromosome	Medaka chromosome/scaffold name	homologs
olatipes_homolog_chrom_start	Medaka chromosome/scaffold start (bp)	homologs
olatipes_homolog_chrom_end	Medaka chromosome/scaffold end (bp)	homologs
olatipes_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
olatipes_homolog_subtype	Last common ancestor with Medaka	homologs
olatipes_homolog_orthology_type	Medaka homology type	homologs
olatipes_homolog_perc_id	%id. target Medaka gene identical to query gene	homologs
olatipes_homolog_perc_id_r1	%id. query gene identical to target Medaka gene	homologs
olatipes_homolog_goc_score	Medaka Gene-order conservation score	homologs
olatipes_homolog_wga_coverage	Medaka Whole-genome alignment coverage	homologs
olatipes_homolog_dn	dN with Medaka	homologs
olatipes_homolog_ds	dS with Medaka	homologs
olatipes_homolog_orthology_confidence	Medaka orthology confidence [0 low, 1 high]	homologs
pvampyrus_homolog_ensembl_gene	Megabat gene stable ID	homologs
pvampyrus_homolog_associated_gene_name	Megabat gene name	homologs
pvampyrus_homolog_ensembl_peptide	Megabat protein or transcript stable ID	homologs
pvampyrus_homolog_chromosome	Megabat chromosome/scaffold name	homologs
pvampyrus_homolog_chrom_start	Megabat chromosome/scaffold start (bp)	homologs
pvampyrus_homolog_chrom_end	Megabat chromosome/scaffold end (bp)	homologs
pvampyrus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
pvampyrus_homolog_subtype	Last common ancestor with Megabat	homologs
pvampyrus_homolog_orthology_type	Megabat homology type	homologs
pvampyrus_homolog_perc_id	%id. target Megabat gene identical to query gene	homologs
pvampyrus_homolog_perc_id_r1	%id. query gene identical to target Megabat gene	homologs
pvampyrus_homolog_goc_score	Megabat Gene-order conservation score	homologs
pvampyrus_homolog_wga_coverage	Megabat Whole-genome alignment coverage	homologs
pvampyrus_homolog_dn	dN with Megabat	homologs
pvampyrus_homolog_ds	dS with Megabat	homologs
pvampyrus_homolog_orthology_confidence	Megabat orthology confidence [0 low, 1 high]	homologs
mlucifugus_homolog_ensembl_gene	Microbat gene stable ID	homologs
mlucifugus_homolog_associated_gene_name	Microbat gene name	homologs
mlucifugus_homolog_ensembl_peptide	Microbat protein or transcript stable ID	homologs
mlucifugus_homolog_chromosome	Microbat chromosome/scaffold name	homologs
mlucifugus_homolog_chrom_start	Microbat chromosome/scaffold start (bp)	homologs
mlucifugus_homolog_chrom_end	Microbat chromosome/scaffold end (bp)	homologs
mlucifugus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
mlucifugus_homolog_subtype	Last common ancestor with Microbat	homologs
mlucifugus_homolog_orthology_type	Microbat homology type	homologs
mlucifugus_homolog_perc_id	%id. target Microbat gene identical to query gene	homologs
mlucifugus_homolog_perc_id_r1	%id. query gene identical to target Microbat gene	homologs
mlucifugus_homolog_goc_score	Microbat Gene-order conservation score	homologs
mlucifugus_homolog_wga_coverage	Microbat Whole-genome alignment coverage	homologs
mlucifugus_homolog_dn	dN with Microbat	homologs
mlucifugus_homolog_ds	dS with Microbat	homologs
mlucifugus_homolog_orthology_confidence	Microbat orthology confidence [0 low, 1 high]	homologs
mmusculus_homolog_ensembl_gene	Mouse gene stable ID	homologs
mmusculus_homolog_associated_gene_name	Mouse gene name	homologs
mmusculus_homolog_ensembl_peptide	Mouse protein or transcript stable ID	homologs
mmusculus_homolog_chromosome	Mouse chromosome/scaffold name	homologs
mmusculus_homolog_chrom_start	Mouse chromosome/scaffold start (bp)	homologs
mmusculus_homolog_chrom_end	Mouse chromosome/scaffold end (bp)	homologs
mmusculus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
mmusculus_homolog_subtype	Last common ancestor with Mouse	homologs
mmusculus_homolog_orthology_type	Mouse homology type	homologs
mmusculus_homolog_perc_id	%id. target Mouse gene identical to query gene	homologs
mmusculus_homolog_perc_id_r1	%id. query gene identical to target Mouse gene	homologs
mmusculus_homolog_goc_score	Mouse Gene-order conservation score	homologs
mmusculus_homolog_wga_coverage	Mouse Whole-genome alignment coverage	homologs
mmusculus_homolog_dn	dN with Mouse	homologs
mmusculus_homolog_ds	dS with Mouse	homologs
mmusculus_homolog_orthology_confidence	Mouse orthology confidence [0 low, 1 high]	homologs
mmurinus_homolog_ensembl_gene	Mouse Lemur gene stable ID	homologs
mmurinus_homolog_associated_gene_name	Mouse Lemur gene name	homologs
mmurinus_homolog_ensembl_peptide	Mouse Lemur protein or transcript stable ID	homologs
mmurinus_homolog_chromosome	Mouse Lemur chromosome/scaffold name	homologs
mmurinus_homolog_chrom_start	Mouse Lemur chromosome/scaffold start (bp)	homologs
mmurinus_homolog_chrom_end	Mouse Lemur chromosome/scaffold end (bp)	homologs
mmurinus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
mmurinus_homolog_subtype	Last common ancestor with Mouse Lemur	homologs
mmurinus_homolog_orthology_type	Mouse Lemur homology type	homologs
mmurinus_homolog_perc_id	%id. target Mouse Lemur gene identical to query gene	homologs
mmurinus_homolog_perc_id_r1	%id. query gene identical to target Mouse Lemur gene	homologs
mmurinus_homolog_goc_score	Mouse Lemur Gene-order conservation score	homologs
mmurinus_homolog_wga_coverage	Mouse Lemur Whole-genome alignment coverage	homologs
mmurinus_homolog_dn	dN with Mouse Lemur	homologs
mmurinus_homolog_ds	dS with Mouse Lemur	homologs
mmurinus_homolog_orthology_confidence	Mouse Lemur orthology confidence [0 low, 1 high]	homologs
mdomestica_homolog_ensembl_gene	Opossum gene stable ID	homologs
mdomestica_homolog_associated_gene_name	Opossum gene name	homologs
mdomestica_homolog_ensembl_peptide	Opossum protein or transcript stable ID	homologs
mdomestica_homolog_chromosome	Opossum chromosome/scaffold name	homologs
mdomestica_homolog_chrom_start	Opossum chromosome/scaffold start (bp)	homologs
mdomestica_homolog_chrom_end	Opossum chromosome/scaffold end (bp)	homologs
mdomestica_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
mdomestica_homolog_subtype	Last common ancestor with Opossum	homologs
mdomestica_homolog_orthology_type	Opossum homology type	homologs
mdomestica_homolog_perc_id	%id. target Opossum gene identical to query gene	homologs
mdomestica_homolog_perc_id_r1	%id. query gene identical to target Opossum gene	homologs
